"GeneSymbol","Name","NCBI_Entrez_ID","HGNC_ID","Ensembl_Gene","Ensembl_Nucleotide","Ensembl_Protein","RefSeq_Nucleotide","RefSeq_Protein","Database","Uniprot_ID"
"ABRA","actin binding Rho activating protein",137735,"HGNC:30655","ENSG00000174429.4","ENST00000311955.4","ENSP00000311436.3","NM_139166.5","NP_631905.1","MANE Select","Q8N0Z2"
"ABRACL","ABRA C-terminal like",58527,"HGNC:21230","ENSG00000146386.8","ENST00000367660.4","ENSP00000356632.3","NM_021243.3","NP_067066.1","MANE Select","Q9P1F3;Q5SZC9"
"ABRAXAS1","abraxas 1, BRCA1 A complex subunit",84142,"HGNC:25829","ENSG00000163322.14","ENST00000321945.12","ENSP00000369857.3","NM_139076.3","NP_620775.2","MANE Select","Q6UWZ7;D6RHI5;A0A087WZ78;D6RAN3;D6REL5;A0A087WXK1;E9PHB9;A0A087WWJ9"
"ABRAXAS2","abraxas 2, BRISC complex subunit",23172,"HGNC:28975","ENSG00000165660.8","ENST00000298492.6","ENSP00000298492.5","NM_032182.4","NP_115558.3","MANE Select","Q15018"
"ABT1","activator of basal transcription 1",29777,"HGNC:17369","ENSG00000146109.5","ENST00000274849.3","ENSP00000274849.1","NM_013375.4","NP_037507.1","MANE Select","Q9ULW3;A0A024R029"
"ABTB1","ankyrin repeat and BTB domain containing 1",80325,"HGNC:18275","ENSG00000114626.18","ENST00000232744.13","ENSP00000232744.8","NM_172027.3","NP_742024.1","MANE Select","Q969K4;F2Z3F5"
"ABTB2","ankyrin repeat and BTB domain containing 2",25841,"HGNC:23842","ENSG00000166016.6","ENST00000435224.3","ENSP00000410157.2","NM_145804.3","NP_665803.2","MANE Select","Q8N961"
"ACAA1","acetyl-CoA acyltransferase 1",30,"HGNC:82","ENSG00000060971.19","ENST00000333167.13","ENSP00000333664.8","NM_001607.4","NP_001598.1","MANE Select","P09110;F2Z2Q6;F2Z3P7;B4DVF4;A0A024R2M6;C9JDE9"
"ACAA2","acetyl-CoA acyltransferase 2",10449,"HGNC:83","ENSG00000167315.18","ENST00000285093.15","ENSP00000285093.8","NM_006111.3","NP_006102.2","MANE Select","P42765;K7EJ68;A0A0B4J2A4;K7ER88;K7EME0;K7EJB1"
"ACACA","acetyl-CoA carboxylase alpha",31,"HGNC:84","ENSG00000278540.5","ENST00000616317.5","ENSP00000483300.1","NM_198834.3","NP_942131.1","MANE Select","Q13085;A0A0C4DGT1;A0A087WVR6;A0A087X126;A0A087WYK6;Q59FY4;A0A087X2F8;A0A087X0W4"
"ACACB","acetyl-CoA carboxylase beta",32,"HGNC:85","ENSG00000076555.16","ENST00000338432.12","ENSP00000341044.7","NM_001093.4","NP_001084.3","MANE Select","O00763;S4R3S7;F8W8T8;F5H5C3"
"ACAD10","acyl-CoA dehydrogenase family member 10",80724,"HGNC:21597","ENSG00000111271.15","ENST00000313698.9","ENSP00000325137.5","NM_025247.6","NP_079523.3","MANE Select","Q6JQN1;D6RFF6;F8VXK4;F8W1I9;F8W0Q4"
"ACAD11","acyl-CoA dehydrogenase family member 11",84129,"HGNC:30211","ENSG00000240303.8","ENST00000264990.11","ENSP00000264990.6","NM_032169.5","NP_115545.3","MANE Select","Q709F0;H0Y9C6;F8WEV0;D6RDI8"
"ACAD8","acyl-CoA dehydrogenase family member 8",27034,"HGNC:87","ENSG00000151498.12","ENST00000281182.9","ENSP00000281182.5","NM_014384.3","NP_055199.1","MANE Select","Q9UKU7;E9PLS3;E9PKP9"
"ACAD9","acyl-CoA dehydrogenase family member 9",28976,"HGNC:21497","ENSG00000177646.20","ENST00000308982.12","ENSP00000312618.7","NM_014049.5","NP_054768.2","MANE Select","Q9H845;D6RDK9;Q9H9W4;A0A7P0T871;A0A7P0TB68;H0Y8Z9;D6RJA8;D6RCD8;A0A7P0T7Z1;A0A7P0TB58;A0A7P0T9N9;A0A7P0T8U3;D6RGK6;A0A7P0Z450;D6R9Z3"
"ACADL","acyl-CoA dehydrogenase long chain",33,"HGNC:88","ENSG00000115361.8","ENST00000233710.4","ENSP00000233710.3","NM_001608.4","NP_001599.1","MANE Select","P28330"
"ACADM","acyl-CoA dehydrogenase medium chain",34,"HGNC:89","ENSG00000117054.15","ENST00000370841.9","ENSP00000359878.5","NM_000016.6","NP_000007.1","MANE Select","P11310;A0A7P0T9W7;E9PJM9;A0A0S2Z366;A0A7P0TB51;E9PIX8;Q5T4U5;A0A7P0TBF2;A0A7P0Z4Q0;E9PQA8;A0A7P0T8J9;A0A7P0TAZ5;A0A7P0TA63;A0A7P0TBD1;E9PRX4;A0A7P0TAB2;A0A7P0TB28;F6YB23;A0A7P0T932;A0A7P0T8G6;A0A7P0TA39;E9PLN7;A0A7P0T8B6;A0A7P0TB55;H0YDT5"
"ACADS","acyl-CoA dehydrogenase short chain",35,"HGNC:90","ENSG00000122971.9","ENST00000242592.9","ENSP00000242592.4","NM_000017.4","NP_000008.1","MANE Select","P16219;E5KSD5;E9PE82"
"ACADSB","acyl-CoA dehydrogenase short/branched chain",36,"HGNC:91","ENSG00000196177.13","ENST00000358776.7","ENSP00000357873.3","NM_001609.4","NP_001600.1","MANE Select","P45954;A0A0S2Z3P9"
"ACADVL","acyl-CoA dehydrogenase very long chain",37,"HGNC:92","ENSG00000072778.20","ENST00000356839.10","ENSP00000349297.5","NM_000018.4","NP_000009.1","MANE Select","P49748;J9JID6;K7EMF8;J3QKU9;K7EJW8;K7EQP4"
"ACAN","aggrecan",176,"HGNC:319","ENSG00000157766.19","ENST00000560601.4","ENSP00000453581.2","NM_001369268.1","NP_001356197.1","MANE Select","P16112;Q6PID9;A0A5K1VW97;H0YMF1"
"ACAP1","ArfGAP with coiled-coil, ankyrin repeat and PH domains 1",9744,"HGNC:16467","ENSG00000072818.12","ENST00000158762.8","ENSP00000158762.3","NM_014716.4","NP_055531.1","MANE Select","Q15027;I3L268;I3L0K9"
"ACAP2","ArfGAP with coiled-coil, ankyrin repeat and PH domains 2",23527,"HGNC:16469","ENSG00000114331.16","ENST00000326793.11","ENSP00000324287.6","NM_012287.6","NP_036419.3","MANE Select","Q15057;A0A5F9ZHJ9;F8WAU0;A0A0U1RQT1;C9J8L1"
"ACAP3","ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",116983,"HGNC:16754","ENSG00000131584.19","ENST00000354700.10","ENSP00000346733.5","NM_030649.3","NP_085152.2","MANE Select","Q96P50;F8W850"
"ACAT1","acetyl-CoA acetyltransferase 1",38,"HGNC:93","ENSG00000075239.14","ENST00000265838.9","ENSP00000265838.4","NM_000019.4","NP_000010.1","MANE Select","P24752;A0A5F9ZHJ0;E9PRQ6;A0A5F9ZHL7;A0A5F9ZI66;A0A5F9ZHL1;A0A5F9ZHD4;A0A5F9ZHH9;A0A5F9ZHJ7"
"ACAT2","acetyl-CoA acetyltransferase 2",39,"HGNC:94","ENSG00000120437.9","ENST00000367048.5","ENSP00000356015.4","NM_005891.3","NP_005882.2","MANE Select","Q9BWD1"
"ACBD3","acyl-CoA binding domain containing 3",64746,"HGNC:15453","ENSG00000182827.9","ENST00000366812.6","ENSP00000355777.5","NM_022735.4","NP_073572.2","MANE Select","Q9H3P7;A0A024R3P9"
"ACBD4","acyl-CoA binding domain containing 4",79777,"HGNC:23337","ENSG00000181513.15","ENST00000321854.13","ENSP00000314440.8","NM_001135705.3","NP_001129177.1","MANE Select","Q8NC06;K7EM05;A0A0S2Z5Q0;A0A0S2Z5Y4;K7EMH4"
"ACBD5","acyl-CoA binding domain containing 5",91452,"HGNC:23338","ENSG00000107897.20","ENST00000396271.8","ENSP00000379568.3","NM_145698.5","NP_663736.2","MANE Select","Q5T8D3;A0A7I2V556;A0A7I2V690;A0A7I2V347;B7Z2R7;A0A7I2V420;A0A7I2V5E1;A0A7I2V2Y9;A0A7I2V5U2;A0A7I2V462;A0A7I2YQE9;X6RDD7;A0A087X0B8;A0A7I2YQS1;A0A7I2V5L4;A0A7I2YQJ9;A0A7I2V2R8;A0A7I2YQD7;Q5T8E0;A0A7I2V560;A0A7I2V2M2"
"ACBD6","acyl-CoA binding domain containing 6",84320,"HGNC:23339","ENSG00000230124.8","ENST00000367595.4","ENSP00000356567.3","NM_032360.4","NP_115736.1","MANE Select","Q9BR61;A0A024R949;A0A2R8Y544"
"ACBD7","acyl-CoA binding domain containing 7",414149,"HGNC:17715","ENSG00000176244.7","ENST00000356189.6","ENSP00000367453.4","NM_001039844.3","NP_001034933.1","MANE Select","Q8N6N7"
"ACCS","1-aminocyclopropane-1-carboxylate synthase homolog (inactive)",84680,"HGNC:23989","ENSG00000110455.14","ENST00000263776.9","ENSP00000263776.8","NM_032592.4","NP_115981.1","MANE Select","Q96QU6;E9PRT9;A0A0S2Z622;E9PS61"
"ACCSL","1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like",390110,"HGNC:34391","ENSG00000205126.2","ENST00000378832.1","ENSP00000368109.1","NM_001031854.2","NP_001027025.2","MANE Select","Q4AC99;E9PI59"
"ACD","ACD shelterin complex subunit and telomerase recruitment factor",65057,"HGNC:25070","ENSG00000102977.18","ENST00000620761.6","ENSP00000478084.1","NM_001082486.2","NP_001075955.2","MANE Select","Q96AP0;R4GNJ5"
"ACE","angiotensin I converting enzyme",1636,"HGNC:2707","ENSG00000159640.17","ENST00000290866.10","ENSP00000290866.4","NM_000789.4","NP_000780.1","MANE Select","P12821;J3QSC7;A0A0A0MSN4;J3KRH5;J3KTH9;J3KS28;J3KTB8;J3KSQ5"
"ACE2","angiotensin converting enzyme 2",59272,"HGNC:13557","ENSG00000130234.13","ENST00000252519.8","ENSP00000252519.3","NM_001371415.1","NP_001358344.1","MANE Select","Q9BYF1;A0A7I2V5W5;A0A7I2V4H0;A0A7I2V3N4;A0A7I2V2E9;A0A7I2V3X6"
"ACER1","alkaline ceramidase 1",125981,"HGNC:18356","ENSG00000167769.5","ENST00000301452.5","ENSP00000301452.3","NM_133492.3","NP_597999.1","MANE Select","Q8TDN7"
"ACER2","alkaline ceramidase 2",340485,"HGNC:23675","ENSG00000177076.6","ENST00000340967.3","ENSP00000342609.2","NM_001010887.3","NP_001010887.2","MANE Select","Q5QJU3"
"ACER3","alkaline ceramidase 3",55331,"HGNC:16066","ENSG00000078124.13","ENST00000532485.6","ENSP00000434480.1","NM_018367.7","NP_060837.3","MANE Select","Q9NUN7;E9PL35;E9PR08;E9PLZ9;A0A7P0Z4N4;B7Z2Q2;E9PKR3;B7Z2V2;J3KN85;A0A7P0T836;A0A7P0TAT0;A0A7P0TAD8;A0A7P0T842;E9PIN9;A0A7P0T912;A0A7P0T8K3"
"ACHE","acetylcholinesterase (Cartwright blood group)",43,"HGNC:108","ENSG00000087085.16","ENST00000241069.11","ENSP00000241069.5","NM_000665.5","NP_000656.1","MANE Select","P22303;A0A498U6H7;F8WD68;C9JZL6;C9JD78;C9J2S3;F8WAR7;F8WD34"
"ACIN1","apoptotic chromatin condensation inducer 1",22985,"HGNC:17066","ENSG00000100813.15","ENST00000605057.6","ENSP00000474349.1","NM_001386863.1","NP_001373792.1","MANE Select","Q9UKV3;G3V3B0;E7EQT4;G3V3T3;S4R3H4;A0A087WYN3"
"ACKR1","atypical chemokine receptor 1 (Duffy blood group)",2532,"HGNC:4035","ENSG00000213088.12","ENST00000368122.4","ENSP00000357104.1","NM_002036.4","NP_002027.2","MANE Select","Q16570;Q5Y7A2;Q5Y7A1"
"ACKR2","atypical chemokine receptor 2",1238,"HGNC:1565","ENSG00000144648.16","ENST00000422265.6","ENSP00000416996.1","NM_001296.5","NP_001287.2","MANE Select","O00590;A1LP82;V9GYM0;V9GYB7;V9GZ70;V9GYX0"
"ACKR3","atypical chemokine receptor 3",57007,"HGNC:23692","ENSG00000144476.6","ENST00000272928.4","ENSP00000272928.3","NM_020311.3","NP_064707.1","MANE Select","P25106;A0A140T9K6"
"ACKR4","atypical chemokine receptor 4",51554,"HGNC:1611","ENSG00000129048.7","ENST00000249887.3","ENSP00000249887.2","NM_016557.4","NP_057641.1","MANE Select","Q9NPB9;H0Y9Z2"
"ACLY","ATP citrate lyase",47,"HGNC:115","ENSG00000131473.17","ENST00000352035.7","ENSP00000253792.2","NM_001096.3","NP_001087.2","MANE Select","P53396;A0A024R1T9;A0A024R1Y2;K7ESG8;K7EIE7"
"ACMSD","aminocarboxymuconate semialdehyde decarboxylase",130013,"HGNC:19288","ENSG00000153086.14","ENST00000356140.10","ENSP00000348459.5","NM_138326.3","NP_612199.2","MANE Select","Q8TDX5;A0A0S2Z681"
"ACO1","aconitase 1",48,"HGNC:117","ENSG00000122729.19","ENST00000309951.8","ENSP00000309477.5","NM_002197.3","NP_002188.1","MANE Select","P21399;V9HWB7"
"ACO2","aconitase 2",50,"HGNC:118","ENSG00000100412.17","ENST00000216254.9","ENSP00000216254.4","NM_001098.3","NP_001089.1","MANE Select","Q99798;A2A274;A0A7I2V586;A0A7I2V5T4;A0A7I2V3F1;A0A7I2V614;A0A7I2V3U7;A0A7I2V2Y4;A0A7I2V6A6;A0A7I2V3C8;A0A7I2V5A1;A0A7I2V538;A0A7I2V5U4;A0A7I2V4I8;A0A7I2V5W7;A0A7I2V3U0"
"ACOD1","aconitate decarboxylase 1",730249,"HGNC:33904","ENSG00000102794.10","ENST00000377462.6","ENSP00000366682.1","NM_001258406.2","NP_001245335.1","MANE Select","A6NK06;H7C1Q4"
"ACOT1","acyl-CoA thioesterase 1",641371,"HGNC:33128","ENSG00000184227.8","ENST00000311148.9","ENSP00000311224.4","NM_001037161.2","NP_001032238.1","MANE Select","Q86TX2;G3V4F2"
"ACOT11","acyl-CoA thioesterase 11",26027,"HGNC:18156","ENSG00000162390.18","ENST00000343744.7","ENSP00000340260.2","NM_147161.4","NP_671517.1","MANE Select","Q8WXI4"
"ACOT12","acyl-CoA thioesterase 12",134526,"HGNC:24436","ENSG00000172497.9","ENST00000307624.8","ENSP00000303246.3","NM_130767.3","NP_570123.1","MANE Select","Q8WYK0"
"ACOT13","acyl-CoA thioesterase 13",55856,"HGNC:20999","ENSG00000112304.11","ENST00000230048.5","ENSP00000230048.3","NM_018473.4","NP_060943.1","MANE Select","Q9NPJ3"
"ACOT2","acyl-CoA thioesterase 2",10965,"HGNC:18431","ENSG00000119673.16","ENST00000238651.10","ENSP00000238651.5","NM_006821.6","NP_006812.3","MANE Select","P49753;A0A087WT95;F6VI00"
"ACOT4","acyl-CoA thioesterase 4",122970,"HGNC:19748","ENSG00000177465.5","ENST00000326303.5","ENSP00000323071.4","NM_152331.4","NP_689544.3","MANE Select","Q8N9L9"
"ACOT6","acyl-CoA thioesterase 6",641372,"HGNC:33159","ENSG00000205669.4","ENST00000645972.2","ENSP00000496277.1","NM_001365788.1","NP_001352717.1","MANE Select","Q3I5F7;G3V3W6"
"ACOT7","acyl-CoA thioesterase 7",11332,"HGNC:24157","ENSG00000097021.20","ENST00000361521.9","ENSP00000354615.4","NM_007274.4","NP_009205.3","MANE Select","O00154;K7EKP8"
"ACOT8","acyl-CoA thioesterase 8",10005,"HGNC:15919","ENSG00000101473.17","ENST00000217455.9","ENSP00000217455.4","NM_005469.4","NP_005460.2","MANE Select","O14734;E9PJN0;F6VBM3;A0A494C0N6;Q9BR14;E9PIS4;E9PRD4"
"ACOT9","acyl-CoA thioesterase 9",23597,"HGNC:17152","ENSG00000123130.17","ENST00000379303.10","ENSP00000368605.5","NM_001037171.2","NP_001032248.1","MANE Select","Q9Y305;C9J7L8;F8WDI2;H7C5Q2"
"ACOX1","acyl-CoA oxidase 1",51,"HGNC:119","ENSG00000161533.12","ENST00000293217.10","ENSP00000293217.4","NM_004035.7","NP_004026.2","MANE Select","Q15067;I3L2U4;K7ELT1;I3L0T4"
"ACOX2","acyl-CoA oxidase 2",8309,"HGNC:120","ENSG00000168306.13","ENST00000302819.10","ENSP00000307697.5","NM_003500.4","NP_003491.1","MANE Select","Q99424;H7C4Y2;C9JY29;H7C4Q2;C9J0G0"
"ACOX3","acyl-CoA oxidase 3, pristanoyl",8310,"HGNC:121","ENSG00000087008.16","ENST00000356406.10","ENSP00000348775.4","NM_003501.3","NP_003492.2","MANE Select","O15254;D6RJ89"
"ACOXL","acyl-CoA oxidase like",55289,"HGNC:25621","ENSG00000153093.20","ENST00000439055.6","ENSP00000407761.1","NM_001142807.4","NP_001136279.1","MANE Select","Q9NUZ1;A0A7I2V3X2;H7C345;H7C0A6;A0A0C4DG10;C9JQI3"
"ACP1","acid phosphatase 1",52,"HGNC:122","ENSG00000143727.16","ENST00000272065.10","ENSP00000272065.5","NM_004300.4","NP_004291.1","MANE Select","P24666;G5E9R5;F2Z2Q9;F2Z2R9;D3YTI2"
"ACP2","acid phosphatase 2, lysosomal",53,"HGNC:123","ENSG00000134575.13","ENST00000672073.1","ENSP00000500291.1","NM_001610.4","NP_001601.1","MANE Select","B7Z7D2;P11117;B7Z6U3;E9PHY0;A0A5F9ZH82;A0A5F9ZH40;E9PQY3;A0A5F9ZHR7;A0A5F9ZI20"
"ACP3","acid phosphatase 3",55,"HGNC:125","ENSG00000014257.16","ENST00000336375.10","ENSP00000337471.5","NM_001099.5","NP_001090.2","MANE Select","P15309;E9PFE6"
"ACP4","acid phosphatase 4",93650,"HGNC:14376","ENSG00000142513.6","ENST00000270593.2","ENSP00000270593.1","NM_033068.3","NP_149059.1","MANE Select","Q9BZG2"
"ACP5","acid phosphatase 5, tartrate resistant",54,"HGNC:124","ENSG00000102575.14","ENST00000648477.1","ENSP00000496973.1","NM_001611.5","NP_001602.1","MANE Select","P13686;A0A024R7F8"
"ACP6","acid phosphatase 6, lysophosphatidic",51205,"HGNC:29609","ENSG00000162836.12","ENST00000583509.7","ENSP00000463574.1","NM_016361.5","NP_057445.4","MANE Select","Q9NPH0;A0A087WWB7;A0A087WW36;X5D319;A0A0A0MS36"
"ACP7","acid phosphatase 7, tartrate resistant (putative)",390928,"HGNC:33781","ENSG00000183760.11","ENST00000331256.10","ENSP00000327557.4","NM_001004318.3","NP_001004318.2","MANE Select","Q6ZNF0;M0R045;M0QXC1"
"ACR","acrosin",49,"HGNC:126","ENSG00000100312.11","ENST00000216139.10","ENSP00000216139.5","NM_001097.3","NP_001088.2","MANE Select","P10323;E9PLV5"
"ACRBP","acrosin binding protein",84519,"HGNC:17195","ENSG00000111644.8","ENST00000229243.7","ENSP00000229243.2","NM_032489.3","NP_115878.2","MANE Select","Q8NEB7;A0A140VJD6;F5H3P4;F5H5S8;F5H2C2;E7EP66"
"ACRV1","acrosomal vesicle protein 1",56,"HGNC:127","ENSG00000134940.14","ENST00000533904.6","ENSP00000432816.1","NM_001612.6","NP_001603.1","MANE Select","P26436"
"ACSBG1","acyl-CoA synthetase bubblegum family member 1",23205,"HGNC:29567","ENSG00000103740.10","ENST00000258873.9","ENSP00000258873.4","NM_015162.5","NP_055977.3","MANE Select","Q96GR2;H0YM34;F5H4U6;H0YMH2;H0YMZ0;H0YMC3;H0YMF5;H0YNX0"
"ACSBG2","acyl-CoA synthetase bubblegum family member 2",81616,"HGNC:24174","ENSG00000130377.14","ENST00000588485.6","ENSP00000466336.2","NM_030924.5","NP_112186.3","MANE Select","Q5FVE4;K7ESF1;K7ERT0;A0A7P0Z4L8;K7EL11;K7EKE4;K7ESC8"
"ACSF2","acyl-CoA synthetase family member 2",80221,"HGNC:26101","ENSG00000167107.13","ENST00000300441.9","ENSP00000300441.4","NM_025149.6","NP_079425.3","MANE Select","Q96CM8;D6RF87;E7EN53;H0Y8Y5;D6RF15;E9PF16"
"ACSF3","acyl-CoA synthetase family member 3",197322,"HGNC:27288","ENSG00000176715.17","ENST00000614302.5","ENSP00000479130.1","NM_001243279.3","NP_001230208.1","MANE Select","Q4G176;F5H3B2;F5H755;F5GX20;A0A3B3ISK9;F5H5A1;H0YH37;F5H362;H3BTS0;F5H2G6"
"ACSL1","acyl-CoA synthetase long chain family member 1",2180,"HGNC:3569","ENSG00000151726.15","ENST00000281455.7","ENSP00000281455.2","NM_001995.5","NP_001986.2","MANE Select","P33121;B7Z3Z9;D6RG07;D6RER0;E7EPM6"
"ACSL3","acyl-CoA synthetase long chain family member 3",2181,"HGNC:3570","ENSG00000123983.15","ENST00000357430.8","ENSP00000350012.3","NM_004457.5","NP_004448.2","MANE Select","O95573;A0A7P0TBL9;A0A024R487;A0A7P0T905;H7BYZ7;A0A7P0T8L6;A0A7P0TBB1;F5GWH2;C9JC11;A0A7P0TA76;A0A7P0TB52"
"ACSL4","acyl-CoA synthetase long chain family member 4",2182,"HGNC:3571","ENSG00000068366.21","ENST00000672401.1","ENSP00000500273.1","NM_001318510.2","NP_001305439.1","MANE Select","O60488;D6RF95;D6RDA8;A0A804HI36"
"ACSL5","acyl-CoA synthetase long chain family member 5",51703,"HGNC:16526","ENSG00000197142.11","ENST00000354655.9","ENSP00000346680.4","NM_203379.2","NP_976313.1","MANE Select","Q9ULC5;A0A8C8L3F5;A0A804HIN9;A0A8C8KCK5"
"ACSL6","acyl-CoA synthetase long chain family member 6",23305,"HGNC:16496","ENSG00000164398.15","ENST00000651883.2","ENSP00000499063.2","NM_001009185.3","NP_001009185.1","MANE Select","Q9UKU0;A0A494BZW8;C9JT10;A0A494C1I9;E7ERD7;A0A494C0V0;A0A494C0J9;C9J3Z0;A0A494C0D5;A0A499FJL5;C9JK59;C9JPA5;A0A494C0B6;A0A494C0A5;C9J8C7;A0A494C005;C9J4I1"
"ACSM1","acyl-CoA synthetase medium chain family member 1",116285,"HGNC:18049","ENSG00000166743.10","ENST00000520010.6","ENSP00000428047.1","NM_001318890.3","NP_001305819.1","MANE Select","Q08AH1;E5RFK0"
"ACSM2A","acyl-CoA synthetase medium chain family member 2A",123876,"HGNC:32017","ENSG00000183747.12","ENST00000573854.6","ENSP00000459451.1","NM_001308172.2","NP_001295101.1","MANE Select","Q08AH3;I3L438;F5GWL3;E7EPS5;I3L339;I3L2Y5"
"ACSM2B","acyl-CoA synthetase medium chain family member 2B",348158,"HGNC:30931","ENSG00000066813.14","ENST00000329697.10","ENSP00000327453.6","NM_001105069.2","NP_001098539.1","MANE Select","Q68CK6;H3BNJ9;H3BP79;A0A087WU25;H3BM61;H3BRR3;H3BTX9;H3BQ84"
"ACSM3","acyl-CoA synthetase medium chain family member 3",6296,"HGNC:10522","ENSG00000005187.12","ENST00000289416.10","ENSP00000289416.5","NM_005622.4","NP_005613.2","MANE Select","Q53FZ2;H3BT38;H3BR33;H3BTG0;H3BVD5"
"ACSM4","acyl-CoA synthetase medium chain family member 4",341392,"HGNC:32016","ENSG00000215009.6","ENST00000399422.5","ENSP00000382349.4","NM_001080454.2","NP_001073923.1","MANE Select","P0C7M7"
"ACSM5","acyl-CoA synthetase medium chain family member 5",54988,"HGNC:26060","ENSG00000183549.10","ENST00000331849.8","ENSP00000327916.4","NM_017888.3","NP_060358.2","MANE Select","Q6NUN0;I3L536;A0A087WTR4"
"ACSM6","acyl-CoA synthetase medium chain family member 6",142827,"HGNC:31665","ENSG00000173124.15","ENST00000394005.4","ENSP00000377573.3","NM_207321.3","NP_997204.2","MANE Select","Q6P461;H7BYZ2;H7BXS6"
"ACSS1","acyl-CoA synthetase short chain family member 1",84532,"HGNC:16091","ENSG00000154930.15","ENST00000323482.9","ENSP00000316924.4","NM_032501.4","NP_115890.2","MANE Select","Q9NUB1;Q5TF43"
"ACSS2","acyl-CoA synthetase short chain family member 2",55902,"HGNC:15814","ENSG00000131069.20","ENST00000360596.7","ENSP00000353804.2","NM_018677.4","NP_061147.1","MANE Select","Q9NR19;B4DEH9;F8WBQ7;C9IYL0;C9JY31;C9JXD9;F8WDJ9;C9J7L5;F8WC73;F8WCJ4"
"ACSS3","acyl-CoA synthetase short chain family member 3",79611,"HGNC:24723","ENSG00000111058.8","ENST00000548058.6","ENSP00000449535.1","NM_024560.4","NP_078836.1","MANE Select","Q9H6R3;A0A0B4J1R2;F8VZB4"
"ACTA1","actin alpha 1, skeletal muscle",58,"HGNC:129","ENSG00000143632.15","ENST00000366684.7","ENSP00000355645.3","NM_001100.4","NP_001091.1","MANE Select","P68133;A6NL76;A0A804HKV3"
"ACTA2","actin alpha 2, smooth muscle",59,"HGNC:130","ENSG00000107796.13","ENST00000224784.10","ENSP00000224784.6","NM_001613.4","NP_001604.1","MANE Select","P62736;D2JYH4;F6QUT6;F6UVQ4"
"ACTB","actin beta",60,"HGNC:132","ENSG00000075624.17","ENST00000646664.1","ENSP00000494750.1","NM_001101.5","NP_001092.1","MANE Select","P60709;G5E9R0;Q1KLZ0;E7EVS6;C9JZR7;A0A2R8YEA7;A0A2R8Y793;A0A6Q8PGD7;A0A6Q8PFE4;A0A6Q8PH58;C9JTX5;C9JUM1"
"ACTBL2","actin beta like 2",345651,"HGNC:17780","ENSG00000169067.4","ENST00000423391.3","ENSP00000416706.1","NM_001017992.4","NP_001017992.1","MANE Select","Q562R1"
"ACTC1","actin alpha cardiac muscle 1",70,"HGNC:143","ENSG00000159251.8","ENST00000290378.6","ENSP00000290378.4","NM_005159.5","NP_005150.1","MANE Select","P68032"
"ACTG1","actin gamma 1",71,"HGNC:144","ENSG00000184009.13","ENST00000573283.7","ENSP00000458435.1","NM_001614.5","NP_001605.1","MANE Select","P63261;A0A7P0TBL1;J3KT65;I3L4N8;A0A804GS07"
"ACTG2","actin gamma 2, smooth muscle",72,"HGNC:145","ENSG00000163017.14","ENST00000345517.8","ENSP00000295137.3","NM_001615.4","NP_001606.1","MANE Select","P63267;B8ZZJ2;F8WCH0;C9JFL5;F8WB63"
"ACTL10","actin like 10",170487,"HGNC:16127","ENSG00000288649.2","ENST00000677665.1","ENSP00000504425.1","NM_001024675.2","NP_001019846.1","MANE Select","Q5JWF8"
"ACTL6A","actin like 6A",86,"HGNC:24124","ENSG00000136518.17","ENST00000429709.7","ENSP00000397552.2","NM_004301.5","NP_004292.1","MANE Select","O96019;C9JQT2"
"ACTL6B","actin like 6B",51412,"HGNC:160","ENSG00000077080.10","ENST00000160382.10","ENSP00000160382.5","NM_016188.5","NP_057272.1","MANE Select","O94805;C9JQT4"
"ACTL7A","actin like 7A",10881,"HGNC:161","ENSG00000187003.7","ENST00000333999.5","ENSP00000334300.3","NM_006687.4","NP_006678.1","MANE Select","Q9Y615"
"ACTL7B","actin like 7B",10880,"HGNC:162","ENSG00000148156.8","ENST00000374667.5","ENSP00000363799.3","NM_006686.4","NP_006677.1","MANE Select","Q9Y614"
"ACTL8","actin like 8",81569,"HGNC:24018","ENSG00000117148.8","ENST00000375406.2","ENSP00000364555.1","NM_030812.3","NP_110439.2","MANE Select","Q9H568"
"ACTL9","actin like 9",284382,"HGNC:28494","ENSG00000181786.5","ENST00000324436.5","ENSP00000316674.3","NM_178525.5","NP_848620.3","MANE Select","Q8TC94"
